Rank;Full Journal Title;ISSN;Journal Impact Factor
4482;JOURNAL OF THE AMERICAN DENTAL ASSOCIATION;0002-8177;1.767
1197;AMERICAN ECONOMIC REVIEW;0002-8282;3.833
2048;AMERICAN EDUCATIONAL RESEARCH JOURNAL;0002-8312;2.924
9282;TRANSACTIONS OF THE AMERICAN ENTOMOLOGICAL SOCIETY;0002-8320;0.647
4132;AMERICAN FAMILY PHYSICIAN;0002-838X;1.876
9636;AMERICAN FERN JOURNAL;0002-8444;0.583
5506;TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY;0002-8487;1.469
1192;JOURNAL OF THE AMERICAN GERIATRICS SOCIETY;0002-8614;3.842
1192;JOURNAL OF THE AMERICAN GERIATRICS SOCIETY;0002-8614;3.842
944;AMERICAN HEART JOURNAL;0002-8703;4.332
8205;JOURNAL OF THE AMERICAN HELICOPTER SOCIETY;0002-8711;0.852
5988;AMERICAN HISTORICAL REVIEW;0002-8762;1.339
5638;AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS;0002-9092;1.436
5638;AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS;0002-9092;1.436
2220;AMERICAN JOURNAL OF BOTANY;0002-9122;2.811
1775;AMERICAN JOURNAL OF CARDIOLOGY;0002-9149;3.154
10823;AMERICAN JOURNAL OF CLINICAL HYPNOSIS;0002-9157;0.367
381;AMERICAN JOURNAL OF CLINICAL NUTRITION;0002-9165;6.703
3144;AMERICAN JOURNAL OF CLINICAL PATHOLOGY;0002-9173;2.278
4652;AMERICAN JOURNAL OF COMPARATIVE LAW;0002-919X;1.721
11253;AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY;0002-9246;0.273
5096;AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE;0002-9254;1.579
676;AMERICAN JOURNAL OF EPIDEMIOLOGY;0002-9262;5.036
181;AMERICAN JOURNAL OF GASTROENTEROLOGY;0002-9270;10.383
171;AMERICAN JOURNAL OF HUMAN GENETICS;0002-9297;10.794
4081;AMERICAN JOURNAL OF INTERNATIONAL LAW;0002-9300;1.895
6913;AMERICAN JOURNAL OF MATHEMATICS;0002-9327;1.118
538;AMERICAN JOURNAL OF MEDICINE;0002-9343;5.610
5012;AMERICAN JOURNAL OF NURSING;0002-936X;1.605
5012;AMERICAN JOURNAL OF NURSING;0002-936X;1.605
797;AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY;0002-9378;4.681
1198;AMERICAN JOURNAL OF OPHTHALMOLOGY;0002-9394;3.831
6255;AMERICAN JOURNAL OF ORTHOPSYCHIATRY;0002-9432;1.276
6255;AMERICAN JOURNAL OF ORTHOPSYCHIATRY;0002-9432;1.276
997;AMERICAN JOURNAL OF PATHOLOGY;0002-9440;4.206
6588;AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION;0002-9459;1.196
2899;AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY;0002-9483;2.402
2899;AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY;0002-9483;2.402
7395;AMERICAN JOURNAL OF PHYSICS;0002-9505;1.012
113;AMERICAN JOURNAL OF PSYCHIATRY;0002-953X;13.505
113;AMERICAN JOURNAL OF PSYCHIATRY;0002-953X;13.505
8670;AMERICAN JOURNAL OF PSYCHOLOGY;0002-9556;0.761
1396;AMERICAN JOURNAL OF SCIENCE;0002-9599;3.566
2565;AMERICAN JOURNAL OF SOCIOLOGY;0002-9602;2.574
2897;AMERICAN JOURNAL OF SURGERY;0002-9610;2.403
5116;AMERICAN JOURNAL OF THE MEDICAL SCIENCES;0002-9629;1.575
2791;AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE;0002-9637;2.453
6892;AMERICAN JOURNAL OF VETERINARY RESEARCH;0002-9645;1.124
8964;JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION;0002-9726;0.707
10922;AMERICAN MATHEMATICAL MONTHLY;0002-9890;0.349
9004;PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY;0002-9939;0.700
6588;TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY;0002-9947;1.196
287;BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY;0003-0007;7.929
9593;AMERICAN MIDLAND NATURALIST;0003-0031;0.592
4031;AMERICAN MINERALOGIST;0003-004X;1.918
6897;AMERICAN MUSEUM NOVITATES;0003-0082;1.123
471;BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY;0003-0090;5.952
1782;AMERICAN NATURALIST;0003-0147;3.148
5389;JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY;0003-021X;1.505
1497;AMERICAN POLITICAL SCIENCE REVIEW;0003-0554;3.444
10352;JOURNAL OF THE AMERICAN PSYCHOANALYTIC ASSOCIATION;0003-0651;0.459
575;AMERICAN PSYCHOLOGIST;0003-066X;5.454
10091;AMERICAN SCIENTIST;0003-0996;0.500
7435;JOURNAL OF THE AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE;0003-1062;1.000
1097;AMERICAN SOCIOLOGICAL REVIEW;0003-1224;3.989
11300;AMERICAN SPEECH;0003-1283;0.262
6504;AMERICAN STATISTICIAN;0003-1305;1.215
8613;AMERICAN SURGEON;0003-1348;0.769
5399;JAVMA-JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION;0003-1488;1.501
1223;ANAESTHESIA;0003-2409;3.794
7649;ANAESTHESIST;0003-2417;0.964
1073;ANALYST;0003-2654;4.033
782;ANALYTICA CHIMICA ACTA;0003-2670;4.712
3212;ANALYTICAL BIOCHEMISTRY;0003-2697;2.243
484;ANALYTICAL CHEMISTRY;0003-2700;5.886
7055;ANALYTICAL LETTERS;0003-2719;1.088
11728;Journal of the Anatomical Society of India;0003-2778;0.146
1201;ANESTHESIA AND ANALGESIA;0003-2999;3.827
554;ANESTHESIOLOGY;0003-3022;5.555
2037;ANGIOLOGY;0003-3197;2.931
5096;ANGLE ORTHODONTIST;0003-3219;1.579
1764;ANIMAL BEHAVIOUR;0003-3472;3.169
10829;ANNALS OF SCIENCE;0003-3790;0.366
10829;ANNALS OF SCIENCE;0003-3790;0.366
1498;ANNALEN DER PHYSIK;0003-3804;3.443
7989;ANNALES BOTANICI FENNICI;0003-3847;0.893
11199;ANNALES DE BIOLOGIE CLINIQUE;0003-3898;0.284
9849;ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY;0003-4088;0.547
7816;ANNALES D ENDOCRINOLOGIE;0003-4266;0.930
8885;Annals of Telecommunications-Annales des Telecommunications;0003-4347;0.722
11331;ANNALES MEDICO-PSYCHOLOGIQUES;0003-4487;0.255
6837;ANNALES ZOOLOGICI;0003-4541;1.136
8723;ANNALES ZOOLOGICI FENNICI;0003-455X;0.753
10683;Annali Italiani di Chirurgia;0003-469X;0.395
3562;ANNALS OF APPLIED BIOLOGY;0003-4746;2.103
4098;ANNALS OF HUMAN GENETICS;0003-4800;1.889
75;ANNALS OF INTERNAL MEDICINE;0003-4819;16.593
1826;ANNALS OF MATHEMATICS;0003-486X;3.116
4565;ANNALS OF OCCUPATIONAL HYGIENE;0003-4878;1.743
6694;ANNALS OF OTOLOGY RHINOLOGY AND LARYNGOLOGY;0003-4894;1.171
2960;ANNALS OF PHYSICS;0003-4916;2.375
247;ANNALS OF SURGERY;0003-4932;8.569
134;ANNALS OF THE RHEUMATIC DISEASES;0003-4967;12.384
1940;ANNALS OF THORACIC SURGERY;0003-4975;3.021
10568;ANNEE PSYCHOLOGIQUE;0003-5033;0.418
7739;ANTHROPOLOGICAL QUARTERLY;0003-5491;0.944
9910;ANTHROPOLOGIE;0003-5521;0.537
10521;ANTHROPOLOGISCHER ANZEIGER;0003-5548;0.426
10531;ANTI-CORROSION METHODS AND MATERIALS;0003-5599;0.424
4774;ANTIQUITY;0003-598X;1.678
4854;ANTITRUST LAW JOURNAL;0003-6056;1.651
3963;ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY;0003-6072;1.944
8373;APPLICABLE ANALYSIS;0003-6811;0.815
5531;APPLIED ACOUSTICS;0003-682X;1.462
9158;APPLIED BIOCHEMISTRY AND MICROBIOLOGY;0003-6838;0.671
9624;APPLIED ECONOMICS;0003-6846;0.586
6991;APPLIED ENTOMOLOGY AND ZOOLOGY;0003-6862;1.102
4674;APPLIED ERGONOMICS;0003-6870;1.713
4674;APPLIED ERGONOMICS;0003-6870;1.713
759;Applied Mechanics Reviews;0003-6900;4.784
1792;APPLIED PHYSICS LETTERS;0003-6951;3.142
4374;APPLIED SPECTROSCOPY;0003-7028;1.798
8425;JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA;0003-7214;0.807
6681;ARCHAEOLOGY IN OCEANIA;0003-8121;1.174
5889;ARCHAEOMETRY;0003-813X;1.364
10337;ARCHIV DER MATHEMATIK;0003-889X;0.462
10185;ARCHIV FUR GEFLUGELKUNDE;0003-9098;0.487
11868;Journal of Food Safety and Food Quality-Archiv fur Lebensmittelhygiene;0003-925X;0.083
10155;ARCHIV FUR TIERZUCHT-ARCHIVES OF ANIMAL BREEDING;0003-9438;0.493
10984;ARCHIVE FOR HISTORY OF EXACT SCIENCES;0003-9519;0.333
10984;ARCHIVE FOR HISTORY OF EXACT SCIENCES;0003-9519;0.333
3064;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;0003-9527;2.321
10453;ARCHIVES EUROPEENNES DE SOCIOLOGIE;0003-9756;0.440
9488;ARCHIVES ITALIENNES DE BIOLOGIE;0003-9829;0.610
2225;ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS;0003-9861;2.807
1696;ARCHIVES OF DISEASE IN CHILDHOOD;0003-9888;3.231
4606;ARCHIVES OF ORAL BIOLOGY;0003-9969;1.733
2483;ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE;0003-9985;2.631
1896;ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION;0003-9993;3.045
2376;ARCHIVES OF SEXUAL BEHAVIOR;0004-0002;2.704
11108;ARCHIVOS ESPANOLES DE UROLOGIA;0004-0614;0.307
11477;ARCHIVOS LATINOAMERICANOS DE NUTRICION;0004-0622;0.221
2768;ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS;0004-069X;2.464
7345;ARCTIC;0004-0843;1.022
5945;AREA;0004-0894;1.349
7620;Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial Hygiene and Toxicology;0004-1254;0.971
8758;ARKIV FOR MATEMATIK;0004-2080;0.744
7319;Arquivos Brasileiros de Endocrinologia e Metabologia;0004-2730;1.028
10151;ARQUIVOS BRASILEIROS DE OFTALMOLOGIA;0004-2749;0.494
7774;ARQUIVOS DE NEURO-PSIQUIATRIA;0004-282X;0.937
228;ARTHRITIS AND RHEUMATISM;0004-3591;8.955
1601;ARTIFICIAL INTELLIGENCE;0004-3702;3.333
10875;ASIAN SURVEY;0004-4687;0.357
4361;JOURNAL OF THE ACM;0004-5411;1.803
2300;ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS;0004-5608;2.756
3529;ANNALS OF CLINICAL BIOCHEMISTRY;0004-5632;2.119
815;ASTRONOMICAL JOURNAL;0004-6256;4.617
3918;PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN;0004-6264;1.961
903;PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC;0004-6280;4.422
7692;ASTRONOMISCHE NACHRICHTEN;0004-6337;0.956
479;ASTROPHYSICAL JOURNAL;0004-637X;5.909
4774;ASTROPHYSICS AND SPACE SCIENCE;0004-640X;1.678
4148;AUK;0004-8038;1.871
6125;AUSTRALASIAN JOURNAL OF DERMATOLOGY;0004-8380;1.305
9778;Australian Academic & Research Libraries;0004-8623;0.559
9028;AUSTRALIAN AND NEW ZEALAND JOURNAL OF CRIMINOLOGY;0004-8658;0.696
4582;AUSTRALIAN & NEW ZEALAND JOURNAL OF OBSTETRICS & GYNAECOLOGY;0004-8666;1.738
1427;AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY;0004-8674;3.536
1427;AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY;0004-8674;3.536
7670;Journal of the Australian Ceramic Society;0004-881X;0.960
10875;AUSTRALIAN ECONOMIC HISTORY REVIEW;0004-8992;0.357
11554;AUSTRALIAN ECONOMIC PAPERS;0004-900X;0.200
9826;Australian Economic Review;0004-9018;0.552
9843;AUSTRALIAN FORESTRY;0004-9158;0.548
6603;AUSTRALIAN GEOGRAPHER;0004-9182;1.193
5676;AUSTRALIAN JOURNAL OF CHEMISTRY;0004-9425;1.427
9744;AUSTRALIAN JOURNAL OF EDUCATION;0004-9441;0.564
11062;AUSTRALIAN JOURNAL OF POLITICS AND HISTORY;0004-9522;0.316
7286;AUSTRALIAN JOURNAL OF PSYCHOLOGY;0004-9530;1.035
9596;AUSTRALIAN JOURNAL OF ZOOLOGY;0004-959X;0.591
11504;Australian Library Journal;0004-9670;0.214
9735;BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY;0004-9727;0.566
8868;AUSTRALIAN PSYCHOLOGIST;0005-0067;0.724
9013;AUSTRALIAN VETERINARY JOURNAL;0005-0423;0.699
1347;AUTOMATICA;0005-1098;3.635
11088;Automatika;0005-1144;0.311
11289;AUTOMATION AND REMOTE CONTROL;0005-1179;0.265
6976;AVIAN DISEASES;0005-2086;1.104
728;BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS;0005-2728;4.864
1305;BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES;0005-2736;3.687
8144;Bauingenieur;0005-6650;0.866
1652;BEHAVIOR THERAPY;0005-7894;3.276
3333;JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY;0005-7916;2.193
6090;BEHAVIOUR;0005-7959;1.315
1220;BEHAVIOUR RESEARCH AND THERAPY;0005-7967;3.798
9270;BERLINER UND MUNCHENER TIERARZTLICHE WOCHENSCHRIFT;0005-9366;0.650
10498;Beton- und Stahlbetonbau;0005-9900;0.431
11211;BIJDRAGEN TOT DE TAAL- LAND- EN VOLKENKUNDE;0006-2294;0.281
2968;BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS;0006-291X;2.371
7717;BIOCHEMICAL GENETICS;0006-2928;0.952
663;BIOCHEMICAL PHARMACOLOGY;0006-2952;5.091
2130;BIOCHEMISTRY;0006-2960;2.876
5687;BIOCHEMISTRY-MOSCOW;0006-2979;1.421
8902;BIOLOGIA;0006-3088;0.719
4808;BIOLOGIA PLANTARUM;0006-3134;1.665
5320;BIOLOGICAL BULLETIN;0006-3185;1.522
1100;BIOLOGICAL CONSERVATION;0006-3207;3.985
164;BIOLOGICAL PSYCHIATRY;0006-3223;11.212
8703;PROCEEDINGS OF THE BIOLOGICAL SOCIETY OF WASHINGTON;0006-324X;0.757
1476;BIOLOGY OF REPRODUCTION;0006-3363;3.471
5905;BIOMETRICS;0006-341X;1.360
6861;BIOMETRIKA;0006-3444;1.130
1351;BIOPHYSICAL JOURNAL;0006-3495;3.632
3204;BIOPOLYMERS;0006-3525;2.248
7562;BIORHEOLOGY;0006-355X;0.981
965;BIOSCIENCE;0006-3568;4.294
984;BIOTECHNOLOGY AND BIOENGINEERING;0006-3592;4.243
3963;BIOTROPICA;0006-3606;1.944
8012;BIRD STUDY;0006-3657;0.888
6704;BIT NUMERICAL MATHEMATICS;0006-3835;1.167
144;BLOOD;0006-4971;11.847
10562;BLUMEA;0006-5196;0.419
11040;BOIS ET FORETS DES TROPIQUES;0006-579X;0.321
8572;Bollettino di Geofisica Teorica ed Applicata;0006-6729;0.778
6453;BOSTON UNIVERSITY LAW REVIEW;0006-8047;1.226
6352;BOTANICA MARINA;0006-8055;1.250
6190;BOTANICAL REVIEW;0006-8101;1.290
10189;BOTHALIA;0006-8241;0.486
2788;BOUNDARY-LAYER METEOROLOGY;0006-8314;2.455
187;BRAIN;0006-8950;10.103
3562;BRAIN BEHAVIOR AND EVOLUTION;0006-8977;2.103
2591;BRAIN RESEARCH;0006-8993;2.561
10381;Bratislava Medical Journal-Bratislavske Lekarske Listy;0006-9248;0.454
7505;BRITISH DENTAL JOURNAL;0007-0610;0.997
7610;British Food Journal;0007-070X;0.973
8972;BRITISH JOURNAL FOR THE HISTORY OF SCIENCE;0007-0874;0.706
4582;BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE;0007-0882;1.738
4582;BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE;0007-0882;1.738
536;BRITISH JOURNAL OF ANAESTHESIA;0007-0912;5.616
549;BRITISH JOURNAL OF CANCER;0007-0920;5.569
4882;BRITISH JOURNAL OF CRIMINOLOGY;0007-0955;1.643
953;BRITISH JOURNAL OF DERMATOLOGY;0007-0963;4.317
3824;BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY;0007-0998;2.000
9936;BRITISH JOURNAL OF EDUCATIONAL STUDIES;0007-1005;0.532
4909;BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY;0007-1013;1.633
492;BRITISH JOURNAL OF HAEMATOLOGY;0007-1048;5.812
4315;BRITISH JOURNAL OF INDUSTRIAL RELATIONS;0007-1080;1.820
1294;BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY;0007-1102;3.698
1294;BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY;0007-1102;3.698
1623;BRITISH JOURNAL OF NUTRITION;0007-1145;3.311
1916;BRITISH JOURNAL OF OPHTHALMOLOGY;0007-1161;3.036
617;BRITISH JOURNAL OF PHARMACOLOGY;0007-1188;5.259
1817;BRITISH JOURNAL OF POLITICAL SCIENCE;0007-1234;3.120
356;BRITISH JOURNAL OF PSYCHIATRY;0007-1250;7.060
356;BRITISH JOURNAL OF PSYCHIATRY;0007-1250;7.060
3212;BRITISH JOURNAL OF PSYCHOLOGY;0007-1269;2.243
4243;BRITISH JOURNAL OF RADIOLOGY;0007-1285;1.840
4148;BRITISH JOURNAL OF SOCIOLOGY;0007-1315;1.871
539;BRITISH JOURNAL OF SURGERY;0007-1323;5.596
2052;BRITISH MEDICAL BULLETIN;0007-1420;2.921
7794;BRITISH POULTRY SCIENCE;0007-1668;0.933
9260;BRITTONIA;0007-196X;0.652
11083;Brodogradnja;0007-215X;0.312
3280;BROOKINGS PAPERS ON ECONOMIC ACTIVITY;0007-2303;2.217
7108;BRYOLOGIST;0007-2745;1.077
9192;BULLETIN DES SCIENCES MATHEMATIQUES;0007-4497;0.664
8972;BULLETIN DU CANCER;0007-4551;0.706
4503;BULLETIN OF ENTOMOLOGICAL RESEARCH;0007-4853;1.761
6611;BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY;0007-4861;1.191
10410;BULLETIN OF EXPERIMENTAL BIOLOGY AND MEDICINE;0007-4888;0.448
9021;BULLETIN OF INDONESIAN ECONOMIC STUDIES;0007-4918;0.697
4206;BULLETIN OF MARINE SCIENCE;0007-4977;1.856
9764;Labmedicine;0007-5027;0.561
9351;BULLETIN OF THE HISTORY OF MEDICINE;0007-5140;0.632
9351;BULLETIN OF THE HISTORY OF MEDICINE;0007-5140;0.632
11642;MITTEILUNGEN KLOSTERNEUBURG;0007-5922;0.176
3477;Business & Society;0007-6503;2.135
8956;BUSINESS HISTORY;0007-6791;0.709
9341;BUSINESS HISTORY REVIEW;0007-6805;0.634
7416;BUSINESS HORIZONS;0007-6813;1.008
9944;BUSINESS LAWYER;0007-6899;0.531
2707;CIRP ANNALS-MANUFACTURING TECHNOLOGY;0007-8506;2.492
1;CA-A CANCER JOURNAL FOR CLINICIANS;0007-9235;137.578
9535;CAHIERS DE BIOLOGIE MARINE;0007-9723;0.600
8369;CALCOLO;0008-0624;0.816
8230;CALIFORNIA AGRICULTURE;0008-0845;0.846
11602;CALIFORNIA FISH AND GAME;0008-1078;0.186
1847;CALIFORNIA LAW REVIEW;0008-1221;3.091
6959;CALIFORNIA MANAGEMENT REVIEW;0008-1256;1.109
10897;Cambridge Law Journal;0008-1973;0.353
7435;CANADIAN ENTOMOLOGIST;0008-347X;1.000
5080;CANADIAN FAMILY PHYSICIAN;0008-350X;1.584
8058;CANADIAN GEOGRAPHER-GEOGRAPHE CANADIEN;0008-3658;0.878
4127;CANADIAN GEOTECHNICAL JOURNAL;0008-3674;1.877
11344;CANADIAN HISTORICAL REVIEW;0008-3755;0.250
6184;CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE;0008-3976;1.291
6184;CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE;0008-3976;1.291
8868;CANADIAN JOURNAL OF ANIMAL SCIENCE;0008-3984;0.724
9282;CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT;0008-400X;0.647
7144;CANADIAN JOURNAL OF CHEMICAL ENGINEERING;0008-4034;1.066
7433;CANADIAN JOURNAL OF CHEMISTRY;0008-4042;1.003
6616;CANADIAN JOURNAL OF EARTH SCIENCES;0008-4077;1.190
