Full Journal Title;ISSN;Journal Impact Factor
CHINESE PHYSICS LETTERS;0256307X;0.875
IETE TECHNICAL REVIEW;02564602;1.304
ANNALS OF SAUDI MEDICINE;02564947;0.311
ZEITGESCHICHTE;02565250;0.025
CHILDS NERVOUS SYSTEM;02567040;1.080
CHINESE JOURNAL OF POLYMER SCIENCE;02567679;1.811
SAMJ SOUTH AFRICAN MEDICAL JOURNAL;02569574;1.500
QUEUEING SYSTEMS;02570130;0.875
DIGESTIVE DISEASES;02572753;1.777
IMMUNOLOGIC RESEARCH;0257277X;2.934
WORLD BANK RESEARCH OBSERVER;02573032;1.667
SURFACE & COATINGS TECHNOLOGY;02578972;2.139
Journal of the Chinese Society of Mechanical Engineers;02579731;0.130
ANTHROPOS;02579774;0.200
SOUTH AFRICAN HISTORICAL JOURNAL;02582473;0.414
WORLD BANK ECONOMIC REVIEW;02586770;1.182
South African Journal on Human Rights;02587203;0.392
IN VIVO;0258851X;0.832
BULLETIN OF VOLCANOLOGY;02588900;2.513
Asian Perspective;02589184;0.280
Politikon;02589346;0.302
JOURNAL OF MATHEMATICAL CHEMISTRY;02599791;1.056
JOURNAL OF MOLLUSCAN STUDIES;02601230;1.185
REVIEW OF INTERNATIONAL STUDIES;02602105;1.309
Sensor Review;02602288;0.898
Assessment & Evaluation in Higher Education;02602938;1.075
ANNALS OF GLACIOLOGY;02603055;1.589
COMMENTS ON INORGANIC CHEMISTRY;02603594;1.100
JOURNAL OF APPLIED TOXICOLOGY;0260437X;2.722
NURSE EDUCATION TODAY;02606917;1.591
NURSE EDUCATION TODAY;02606917;1.591
JOURNAL OF EDUCATION FOR TEACHING;02607476;0.778
JOURNAL OF FOOD ENGINEERING;02608774;3.199
ARCHIVES OF NATURAL HISTORY;02609541;0.473
ARCHIVES OF NATURAL HISTORY;02609541;0.473
CRITICAL SOCIAL POLICY;02610183;1.175
ATLA-ALTERNATIVES TO LABORATORY ANIMALS;02611929;0.966
CROP PROTECTION;02612194;1.652
Bulletin of Latin American Research;02613050;0.298
ELECTORAL STUDIES;02613794;1.404
EMBO JOURNAL;02614189;9.643
Leisure Studies;02614367;1.057
Language Teaching;02614448;2.000
BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY;0261510X;1.719
TOURISM MANAGEMENT;02615177;3.140
JOURNAL OF INTERNATIONAL MONEY AND FINANCE;02615606;1.524
CLINICAL NUTRITION;02615614;4.487
JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY;0261927X;1.324
European Journal of Teacher Education;02619768;0.800
CLINICAL & EXPERIMENTAL METASTASIS;02620898;2.728
NEW SCIENTIST;02624079;0.285
CELLULAR POLYMERS;02624893;0.615
HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES;02626667;2.182
JOURNAL OF MICROPALAEONTOLOGY;0262821X;1.250
IMAGE AND VISION COMPUTING;02628856;1.766
LASER AND PARTICLE BEAMS;02630346;1.649
FAMILY PRACTICE;02632136;2.022
MEASUREMENT;02632241;1.742
European Management Journal;02632373;1.437
THEORY CULTURE & SOCIETY;02632764;1.702
JOURNAL OF LAW AND SOCIETY;0263323X;0.686
Politics;02633957;1.500
INTERNATIONAL JOURNAL OF REFRACTORY METALS & HARD MATERIALS;02634368;2.263
JOURNAL OF METAMORPHIC GEOLOGY;02634929;3.673
Research in Science & Technological Education;02635143;0.743
INDUSTRIAL MANAGEMENT & DATA SYSTEMS;02635577;1.278
ROBOTICA;02635747;0.824
ADSORPTION SCIENCE & TECHNOLOGY;02636174;0.633
JOURNAL OF HYPERTENSION;02636352;5.062
CELL BIOCHEMISTRY AND FUNCTION;02636484;2.016
ENVIRONMENT AND PLANNING C-GOVERNMENT AND POLICY;0263774X;1.664
ENVIRONMENT AND PLANNING D-SOCIETY & SPACE;02637758;1.659
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT;02637863;2.885
COMPOSITE STRUCTURES;02638223;3.853
THIN-WALLED STRUCTURES;02638231;2.063
IN PRACTICE;0263841X;0.117
CHEMICAL ENGINEERING RESEARCH & DESIGN;02638762;2.525
JOURNAL OF SPORTS SCIENCES;02640414;2.142
ELECTRONIC LIBRARY;02640473;0.436
MATERIALS & DESIGN;02641275;3.997
INTERLENDING & DOCUMENT SUPPLY;02641615;0.444
SERVICE INDUSTRIES JOURNAL;02642069;0.776
CITIES;02642751;2.051
COGNITIVE NEUROPSYCHOLOGY;02643294;1.444
COGNITIVE NEUROPSYCHOLOGY;02643294;1.444
JOURNAL OF GEODYNAMICS;02643707;1.926
Journal of Applied Philosophy;02643758;0.630
VACCINE;0264410X;3.413
ENGINEERING COMPUTATIONS;02644401;0.691
BIOCHEMICAL JOURNAL;02646021;3.562
JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY;02646838;0.886
MARINE AND PETROLEUM GEOLOGY;02648172;2.788
LAND USE POLICY;02648377;2.768
Biotechnology & Genetic Engineering Reviews;02648725;1.909
CLASSICAL AND QUANTUM GRAVITY;02649381;2.837
ECONOMIC MODELLING;02649993;0.997
EUROPEAN JOURNAL OF ANAESTHESIOLOGY;02650215;3.634
International Journal of Advertising;02650487;1.169
British Journal of Music Education;02650517;0.184
SOCIAL PHILOSOPHY & POLICY;02650525;0.412
JOURNAL OF SOCIAL WORK PRACTICE;02650533;0.964
NATURAL PRODUCT REPORTS;02650568;10.986
IMA JOURNAL OF MATHEMATICAL CONTROL AND INFORMATION;02650754;1.156
Bradleya;0265086X;0.225
INTERNATIONAL MARKETING REVIEW;02651335;1.588
JOURNAL OF MICROENCAPSULATION;02652048;1.631
JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS;02654075;1.459
IDS BULLETIN-INSTITUTE OF DEVELOPMENT STUDIES;02655012;0.465
Language Testing;02655322;0.911
COMMUNITY DENTAL HEALTH;0265539X;0.767
Child Language Teaching & Therapy;02656590;1.093
INTERNATIONAL JOURNAL OF HYPERTHERMIA;02656736;3.361
EUROPEAN HISTORY QUARTERLY;02656914;0.195
ENVIRONMENT AND PLANNING B-PLANNING & DESIGN;02658135;1.195
Law & Policy;02658240;1.233
BIOESSAYS;02659247;4.725
JOURNAL OF ENVIRONMENTAL RADIOACTIVITY;0265931X;2.047
SPACE POLICY;02659646;0.596
SOIL USE AND MANAGEMENT;02660032;1.823
English Today;02660784;0.406
GEOTEXTILES AND GEOMEMBRANES;02661144;2.366
INTERNATIONAL SMALL BUSINESS JOURNAL;02662426;2.215
ECONOMICS AND PHILOSOPHY;02662671;0.971
COMPUTERS AND GEOTECHNICS;0266352X;1.705
COMPOSITES SCIENCE AND TECHNOLOGY;02663538;3.897
German History;02663554;0.387
BRITISH JOURNAL OF ORAL & MAXILLOFACIAL SURGERY;02664356;1.237
INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE;02664623;1.030
ECONOMIC POLICY;02664658;2.062
ECONOMETRIC THEORY;02664666;1.162
ECONOMETRIC THEORY;02664666;1.162
JOURNAL OF TROPICAL ECOLOGY;02664674;0.975
EXPERT SYSTEMS;02664720;0.947
JOURNAL OF APPLIED STATISTICS;02664763;0.419
JOURNAL OF COMPUTER ASSISTED LEARNING;02664909;1.679
Planning Perspectives;02665433;0.393
INVERSE PROBLEMS;02665611;1.651
MIDWIFERY;02666138;1.861
MIDWIFERY;02666138;1.861
Information Development;02666669;0.787
EUROPEAN SOCIOLOGICAL REVIEW;02667215;1.760
LETTERS IN APPLIED MICROBIOLOGY;02668254;1.579
PROBABILISTIC ENGINEERING MECHANICS;02668920;1.241
OXFORD REVIEW OF ECONOMIC POLICY;0266903X;0.764
MATERIALS SCIENCE AND TECHNOLOGY;02670836;1.008
SURFACE ENGINEERING;02670844;1.081
CURRENT OPINION IN GASTROENTEROLOGY;02671379;3.618
Research Papers in Education;02671522;0.820
Annual Review of Applied Linguistics;02671905;0.739
HOUSING STUDIES;02673037;1.309
EUROPEAN JOURNAL OF COMMUNICATION;02673231;1.095
Computer Law & Security Review;02673649;0.373
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT;02675730;0.867
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT;02675730;0.867
COMPUTER SYSTEMS SCIENCE AND ENGINEERING;02676192;0.291
SECOND LANGUAGE RESEARCH;02676583;1.568
PERFUSION-UK;02676591;1.442
SOIL DYNAMICS AND EARTHQUAKE ENGINEERING;02677261;1.481
JOURNAL OF QUATERNARY SCIENCE;02678179;2.553
LIQUID CRYSTALS;02678292;2.244
MUTAGENESIS;02678357;2.297
WORK AND STRESS;02678373;2.467
JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY;02679477;3.379
CLINICAL BIOMECHANICS;02680033;1.636
FOOD HYDROCOLLOIDS;0268005X;3.858
HERPETOLOGICAL JOURNAL;02680130;0.808
JOURNAL OF EDUCATION POLICY;02680939;2.174
MIND & LANGUAGE;02681064;1.867
NEW TECHNOLOGY WORK AND EMPLOYMENT;02681072;1.281
HEALTH POLICY AND PLANNING;02681080;2.513
HEALTH POLICY AND PLANNING;02681080;2.513
Information Technology for Development;02681102;0.857
Literary and Linguistic Computing;02681145;0.525
HEALTH EDUCATION RESEARCH;02681153;1.667
HUMAN REPRODUCTION;02681161;4.621
SEMICONDUCTOR SCIENCE AND TECHNOLOGY;02681242;2.098
INTERNATIONAL CLINICAL PSYCHOPHARMACOLOGY;02681315;2.415
INTERNATIONAL JOURNAL OF MATERIALS & PRODUCT TECHNOLOGY;02681900;0.365
JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY;02682575;2.738
APPLIED ORGANOMETALLIC CHEMISTRY;02682605;2.452
BONE MARROW TRANSPLANTATION;02683369;3.636
PHLEBOLOGY;02683555;1.413
INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY;02683768;1.568
Journal of Managerial Psychology;02683946;1.136
JOURNAL OF INFORMATION TECHNOLOGY;02683962;4.775
JOURNAL OF INFORMATION TECHNOLOGY;02683962;4.775
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT;02684012;2.692
CONTINUITY AND CHANGE;02684160;0.276
CURRENT OPINION IN CARDIOLOGY;02684705;2.158
INTERNATIONAL SOCIOLOGY;02685809;0.621
APHASIOLOGY;02687038;1.139
BRITISH JOURNAL OF NEUROSURGERY;02688697;1.063
LASERS IN MEDICAL SCIENCE;02688921;2.461
ANIMAL GENETICS;02689146;1.779
BLOOD REVIEWS;0268960X;6.627
French History;02691191;0.075
Social Epistemology;02691728;0.769
CLINICAL REHABILITATION;02692155;2.403
PALLIATIVE MEDICINE;02692163;3.685
DIATOM RESEARCH;0269249X;1.868
ALIMENTARY PHARMACOLOGY & THERAPEUTICS;02692813;6.320
ARTIFICIAL INTELLIGENCE REVIEW;02692821;1.731
MEDICAL AND VETERINARY ENTOMOLOGY;0269283X;2.242
BIOMEDICAL CHROMATOGRAPHY;02693879;1.729
ENVIRONMENTAL GEOCHEMISTRY AND HEALTH;02694042;2.079
JOURNAL OF CLINICAL PHARMACY AND THERAPEUTICS;02694727;1.833
PAEDIATRIC AND PERINATAL EPIDEMIOLOGY;02695022;2.958
ENVIRONMENTAL POLLUTION;02697491;4.839
EVOLUTIONARY ECOLOGY;02697653;1.875
FUNCTIONAL ECOLOGY;02698463;5.210
JOURNAL OF PSYCHOPHYSIOLOGY;02698803;1.167
JOURNAL OF PSYCHOPHYSIOLOGY;02698803;1.167
JOURNAL OF PSYCHOPHARMACOLOGY;02698811;3.637
KNOWLEDGE ENGINEERING REVIEW;02698889;1.039
SCIENCE IN CONTEXT;02698897;0.321
SCIENCE IN CONTEXT;02698897;0.321
BRAIN INJURY;02699052;1.822
BRAIN INJURY;02699052;1.822
CLINICAL LINGUISTICS & PHONETICS;02699206;0.617
CLINICAL LINGUISTICS & PHONETICS;02699206;0.617
AIDS;02699370;4.407
PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES;02699648;0.390
BIOETHICS;02699702;1.750
BIOETHICS;02699702;1.750
COGNITION & EMOTION;02699931;2.418
APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE;0269994X;1.179
RESEARCH QUARTERLY FOR EXERCISE AND SPORT;02701367;1.702
RESEARCH QUARTERLY FOR EXERCISE AND SPORT;02701367;1.702
WOMEN & THERAPY;02703149;0.229
PROSTATE;02704137;3.778
JOURNAL OF FRESHWATER ECOLOGY;02705060;0.720
JOURNAL OF NEUROSCIENCE;02706474;5.924
MOLECULAR AND CELLULAR BIOLOGY;02707306;4.427
JOURNAL OF FUTURES MARKETS;02707314;0.698
HEPATOLOGY;02709139;11.711
SEMINARS IN NEPHROLOGY;02709295;3.773
JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY;02710749;3.000
TOPICS IN EARLY CHILDHOOD SPECIAL EDUCATION;02711214;1.143
PUBLIC ADMINISTRATION AND DEVELOPMENT;02712075;0.821
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS;02712091;1.447
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE;02713586;1.632
CURRENT EYE RESEARCH;02713683;2.025
LANGUAGE & COMMUNICATION;02715309;1.366
NUTRITION RESEARCH;02715317;2.523
RADIOGRAPHICS;02715333;2.523
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM;0271678X;4.929
JOURNAL OF PEDIATRIC ORTHOPAEDICS;02716798;1.330
SEMINARS IN NEUROLOGY;02718235;1.838
TOPICS IN LANGUAGE DISORDERS;02718294;1.098
JOURNAL OF CLINICAL IMMUNOLOGY;02719142;3.094
IEEE COMPUTER GRAPHICS AND APPLICATIONS;02721716;1.203
IEEE MICRO;02721732;1.091
STUDIES IN SECOND LANGUAGE ACQUISITION;02722631;2.234
Language Problems & Language Planning;02722690;0.280
CLINICS IN LABORATORY MEDICINE;02722712;1.690
URBAN GEOGRAPHY;02723638;1.322
PHYSICAL GEOGRAPHY;02723646;0.875
JOURNAL OF EARLY ADOLESCENCE;02724316;1.413
PLASMA CHEMISTRY AND PLASMA PROCESSING;02724324;1.811
RISK ANALYSIS;02724332;2.225
RISK ANALYSIS;02724332;2.225
CELLULAR AND MOLECULAR NEUROBIOLOGY;02724340;2.328
DRUG DEVELOPMENT RESEARCH;02724391;0.984
JOURNAL OF VERTEBRATE PALEONTOLOGY;02724634;2.042
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY;02724944;2.647
IMA JOURNAL OF APPLIED MATHEMATICS;02724960;1.034
IMA JOURNAL OF NUMERICAL ANALYSIS;02724979;1.877
CLINICS IN CHEST MEDICINE;02725231;2.359
ELECTROMAGNETICS;02726343;0.333
PARTICULATE SCIENCE AND TECHNOLOGY;02726351;0.707
AMERICAN JOURNAL OF KIDNEY DISEASES;02726386;6.269
JOURNAL OF OPERATIONS MANAGEMENT;02726963;4.000
JOURNAL OF OPERATIONS MANAGEMENT;02726963;4.000
CLINICAL PSYCHOLOGY REVIEW;02727358;8.146
ESTUARINE COASTAL AND SHELF SCIENCE;02727714;2.335
ECONOMICS OF EDUCATION REVIEW;02727757;1.297
SEMINARS IN LIVER DISEASE;02728087;5.667
POLYMER COMPOSITES;02728397;2.004
CERAMICS INTERNATIONAL;02728842;2.758
MERRILL-PALMER QUARTERLY-JOURNAL OF DEVELOPMENTAL PSYCHOLOGY;0272930X;1.333
AMERICAN JOURNAL OF OCCUPATIONAL THERAPY;02729490;1.806
MEDICAL DECISION MAKING;0272989X;2.908
BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY;02730979;3.391
ADVANCES IN SPACE RESEARCH;02731177;1.409
WATER SCIENCE AND TECHNOLOGY;02731223;1.064
SOCIOLOGICAL SPECTRUM;02732173;0.295
APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY;02732289;1.606
DEVELOPMENTAL REVIEW;02732297;4.800
REGULATORY TOXICOLOGY AND PHARMACOLOGY;02732300;2.227
JOURNAL OF TEACHING IN PHYSICAL EDUCATION;02735024;0.579
JOURNAL OF TEACHING IN PHYSICAL EDUCATION;02735024;0.579
JOURNAL OF FIELD ORNITHOLOGY;02738570;1.514
CHILDRENS HEALTH CARE;02739615;0.628
RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES;0275004X;3.039
HUMAN RIGHTS QUARTERLY;02750392;0.631
AMERICAN REVIEW OF PUBLIC ADMINISTRATION;02750740;1.260
AMERICAN JOURNAL OF PRIMATOLOGY;02752565;2.103
OPHTHALMIC AND PHYSIOLOGICAL OPTICS;02755408;2.567
NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT;02755947;1.013
VETERINARY CLINICAL PATHOLOGY;02756382;1.069
CHEMISTRY AND ECOLOGY;02757540;1.281
GEO-MARINE LETTERS;02760460;1.577
Journal of Macromarketing;02761467;1.429
Empirical Studies of the Arts;02762374;0.423
INTERNATIONAL JOURNAL OF EATING DISORDERS;02763478;4.068
INTERNATIONAL JOURNAL OF EATING DISORDERS;02763478;4.068
MOUNTAIN RESEARCH AND DEVELOPMENT;02764741;0.911
Research in Social Stratification and Mobility;02765624;1.379
ORGANOMETALLICS;02767333;4.186
MIS QUARTERLY;02767783;5.384
MIS QUARTERLY;02767783;5.384
JOURNAL OF POLICY ANALYSIS AND MANAGEMENT;02768739;2.788
UNIVERSITY OF ILLINOIS LAW REVIEW;02769948;0.990
PHARMACOTHERAPY;02770008;2.592
JOURNAL OF ASTHMA;02770903;1.854
INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY;02771691;1.437
JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION;02772116;2.400
TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY;02772248;0.634
AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS;02773732;2.977
CORNEA;02773740;1.833
QUATERNARY SCIENCE REVIEWS;02773791;4.521
JOURNAL OF WOOD CHEMISTRY AND TECHNOLOGY;02773813;1.830
Rhetoric Society Quarterly;02773945;0.444
WETLANDS;02775212;1.504
POLYHEDRON;02775387;2.108
WOMENS STUDIES INTERNATIONAL FORUM;02775395;0.591
JOURNAL OF FORECASTING;02776693;0.818
STATISTICS IN MEDICINE;02776715;1.533
MASS SPECTROMETRY REVIEWS;02777037;9.346
SOCIAL SCIENCE & MEDICINE;02779536;2.814
SOCIAL SCIENCE & MEDICINE;02779536;2.814
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS;02780046;6.383
IEEE TRANSACTIONS ON MEDICAL IMAGING;02780062;3.756
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS;02780070;1.181
IEEE TECHNOLOGY AND SOCIETY MAGAZINE;02780097;0.635
SOCIAL COGNITION;0278016X;1.286
HEMATOLOGICAL ONCOLOGY;02780232;3.494
DISEASE MARKERS;02780240;2.137
JOURNAL OF CRUSTACEAN BIOLOGY;02780372;0.922
AUDITING-A JOURNAL OF PRACTICE & THEORY;02780380;0.920
JOURNAL OF ETHNOBIOLOGY;02780771;1.273
JOURNAL OF ETHNOBIOLOGY;02780771;1.273
CIRCUITS SYSTEMS AND SIGNAL PROCESSING;0278081X;1.178
Journal of Primary Prevention;0278095X;1.333
Current Perspectives in Social Theory;02781204;0.056
JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY;02782391;1.631
BRAIN AND COGNITION;02782626;2.399
BRAIN AND COGNITION;02782626;2.399
HEALTH AFFAIRS;02782715;5.230
HEALTH AFFAIRS;02782715;5.230
INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH;02783649;2.489
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY;02784165;1.559
JOURNAL OF ACCOUNTING AND PUBLIC POLICY;02784254;1.317
JOURNAL OF ULTRASOUND IN MEDICINE;02784297;1.544
International Journal of Hospitality Management;02784319;2.061
CONTINENTAL SHELF RESEARCH;02784343;2.011
Rehabilitation Nursing;02784807;1.156
Rehabilitation Nursing;02784807;1.156
PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY;02785846;4.361
CLINICS IN SPORTS MEDICINE;02785919;1.221
JOURNAL OF MANUFACTURING SYSTEMS;02786125;2.240
HEALTH PSYCHOLOGY;02786133;3.611
HEALTH PSYCHOLOGY;02786133;3.611
AEROSOL SCIENCE AND TECHNOLOGY;02786826;1.953
FOOD AND CHEMICAL TOXICOLOGY;02786915;3.584
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION;02787393;2.776
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION;02787393;2.776
TECTONICS;02787407;3.750
JOURNAL OF PSYCHOACTIVE DRUGS;02791072;1.775
JOURNAL OF PSYCHOSOCIAL NURSING AND MENTAL HEALTH SERVICES;02793695;0.725
JOURNAL OF PSYCHOSOCIAL NURSING AND MENTAL HEALTH SERVICES;02793695;0.725
Critical Care Nurse;02795442;1.333
Critical Care Nurse;02795442;1.333
SCHOOL PSYCHOLOGY REVIEW;02796015;1.520
TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY;02806495;1.398
TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY;02806509;2.402
SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE;02813432;1.556
GLYCOCONJUGATE JOURNAL;02820080;1.828
Journal of Official Statistics;0282423X;0.467
Journal of Official Statistics;0282423X;0.467
SCANDINAVIAN JOURNAL OF FOREST RESEARCH;02827581;1.056
NORDIC PULP & PAPER RESEARCH JOURNAL;02832631;1.062
SCANDINAVIAN JOURNAL OF CARING SCIENCES;02839318;1.215
ACTA RADIOLOGICA;02841851;2.009
ACTA ONCOLOGICA;0284186X;3.730
DENTAL MATERIALS JOURNAL;02874547;1.087
NEW GENERATION COMPUTING;02883635;0.533
KONA Powder and Particle Journal;02884534;1.780
ZOOLOGICAL SCIENCE;02890003;0.814
JOURNAL OF ETHOLOGY;02890771;0.848
Japanese Journal of Mathematics;02892316;1.778
SCIENCES SOCIALES ET SANTE;02940337;0.160
Annales de Chirurgie Plastique Esthetique;02941260;0.581
ANNALES DE L INSTITUT HENRI POINCARE-ANALYSE NON LINEAIRE;02941449;2.066
Politix;02952319;0.169
EPL;02955075;1.963
Physiotherapy Canada;03000508;0.614
JOURNAL OF INTERNATIONAL MEDICAL RESEARCH;03000605;1.431
CLINICAL ENDOCRINOLOGY;03000664;3.487
RHINOLOGY;03000729;1.686
RADICAL PHILOSOPHY;0300211X;0.875
ARCHIVOS DE BRONCONEUMOLOGIA;03002896;1.771
NETHERLANDS JOURNAL OF MEDICINE;03002977;1.489
ZOOLOGICA SCRIPTA;03003256;2.733
PHOTOSYNTHETICA;03003604;1.558
LOCAL GOVERNMENT STUDIES;03003930;0.804
TOXICOLOGY;0300483X;3.817
BIOCHEMICAL SOCIETY TRANSACTIONS;03005127;2.679
SHILAP-REVISTA DE LEPIDOPTEROLOGIA;03005267;0.408
INTERVIROLOGY;03005526;1.822
JOURNAL OF PERINATAL MEDICINE;03005577;1.798
JOURNAL OF DENTISTRY;03005712;3.109
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY;03005771;7.522
HUMAN ECOLOGY;03007839;1.604
CURRENT MEDICAL RESEARCH AND OPINION;03007995;2.643
INFECTION;03008126;2.294
MOLECULAR AND CELLULAR BIOCHEMISTRY;03008177;2.613
CONNECTIVE TISSUE RESEARCH;03008207;1.411
BASIC RESEARCH IN CARDIOLOGY;03008428;6.038
Australian Family Physician;03008495;0.759
MEDICAL MICROBIOLOGY AND IMMUNOLOGY;03008584;2.302
KLINISCHE PADIATRIE;03008630;0.980
TUMORI;03008916;1.071
REVISTA ESPANOLA DE CARDIOLOGIA;03008932;4.596
ACTA NEUROLOGICA BELGICA;03009009;1.495
BIOCHIMIE;03009084;3.017
PROGRESS IN ORGANIC COATINGS;03009440;2.632
SCANDINAVIAN JOURNAL OF IMMUNOLOGY;03009475;2.270
BOREAS;03009483;2.386
JOURNAL OF NEURAL TRANSMISSION;03009564;2.587
RESUSCITATION;03009572;5.414
UPSALA JOURNAL OF MEDICAL SCIENCES;03009734;1.739
SCANDINAVIAN JOURNAL OF RHEUMATOLOGY;03009742;2.307
INTERNATIONAL JOURNAL FOR VITAMIN AND NUTRITION RESEARCH;03009831;0.818
VETERINARY PATHOLOGY;03009858;2.120
PERCEPTION;03010066;0.917
PERCEPTION;03010066;0.917
PROGRESS IN NEUROBIOLOGY;03010082;13.177
CHEMICAL PHYSICS;03010104;1.758
CLINICAL NEPHROLOGY;03010430;1.065
PEDIATRIC RADIOLOGY;03010449;1.525
BIOLOGICAL PSYCHOLOGY;03010511;3.234
BIOLOGICAL PSYCHOLOGY;03010511;3.234
ALLERGOLOGIA ET IMMUNOPATHOLOGIA;03010546;1.689
INDIAN JOURNAL OF BIOCHEMISTRY & BIOPHYSICS;03011208;0.958
Vasa-European Journal of Vascular Medicine;03011526;1.122
ORL-Journal for Oto-Rhino-Laryngology Head and Neck Surgery;03011569;1.000
INTERNATIONAL UROLOGY AND NEPHROLOGY;03011623;1.292
European Journal of Obstetrics & Gynecology and Reproductive Biology;03012115;1.662
SOCIAL BEHAVIOR AND PERSONALITY;03012212;0.366
Frontiers of Hormone Research;03013073;3.020
RESOURCES POLICY;03014207;2.489
ENERGY POLICY;03014215;3.045
ENERGY POLICY;03014215;3.045
NEW ZEALAND JOURNAL OF ZOOLOGY;03014223;0.758
THEORETICAL LINGUISTICS;03014428;1.167
ANNALS OF HUMAN BIOLOGY;03014460;1.570
ANNALS OF HUMAN BIOLOGY;03014460;1.570
BIOPHYSICAL CHEMISTRY;03014622;2.363
DIFFERENTIATION;03014681;2.461
EXPERIMENTAL HEMATOLOGY;0301472X;2.303
INDIAN JOURNAL OF OPHTHALMOLOGY;03014738;0.825
JOURNAL OF ENVIRONMENTAL MANAGEMENT;03014797;3.131
JOURNAL OF NUTRITIONAL SCIENCE AND VITAMINOLOGY;03014800;0.890
MOLECULAR BIOLOGY REPORTS;03014851;1.698
MYCOPATHOLOGIA;0301486X;1.671
VETERINARIA MEXICO;03015092;0.294
Advances in Anatomy Embryology and Cell Biology;03015556;1.000
ULTRASOUND IN MEDICINE AND BIOLOGY;03015629;2.298
COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY;03015661;2.233
RADIATION AND ENVIRONMENTAL BIOPHYSICS;0301634X;1.923
TRIBOLOGY INTERNATIONAL;0301679X;2.259
ARCHIVOS DE MEDICINA VETERINARIA;0301732X;0.275
INTERNATIONAL JOURNAL OF MINERAL PROCESSING;03017516;1.617
IRONMAKING & STEELMAKING;03019233;0.757
PRECAMBRIAN RESEARCH;03019268;4.037
INTERNATIONAL JOURNAL OF MULTIPHASE FLOW;03019322;2.250
NEUROPSYCHOBIOLOGY;0302282X;1.763
EUROPEAN UROLOGY;03022838;14.976
Science and Public Policy;03023427;1.233
Contributions to Nephrology;03025144;2.438
HISTORIOGRAPHIA LINGUISTICA;03025160;0.240
CELL AND TISSUE RESEARCH;0302766X;2.948
ARCHIVES OF MICROBIOLOGY;03028933;1.760
ASTERISQUE;03031179;0.627
Agrekon;03031853;0.250
International Journal of Applied Earth Observation and Geoinformation;03032434;3.798
BIOSYSTEMS;03032647;1.495
COLLOID AND POLYMER SCIENCE;0303402X;1.890
Topics in Applied Physics;03034216;0.889
Reviews of Physiology Biochemistry and Pharmacology;03034240;5.333
PSYCHIATRISCHE PRAXIS;03034259;1.612
ANDROLOGIA;03034569;1.441
Acta Reumatologica Portuguesa;0303464X;0.553
TIERARZTLICHE PRAXIS;03036286;0.305
